
2026/06/10 (10:34:05) | ===> btop++ v.1.3.2
2026/06/10 (10:34:05) | WARNING: Failed to join _runner thread on exit!

2026/06/10 (13:30:22) | ===> btop++ v.1.3.2
2026/06/10 (13:30:22) | WARNING: Failed to join _runner thread on exit!

2026/06/10 (14:27:53) | ===> btop++ v.1.3.2
2026/06/10 (14:27:53) | WARNING: Failed to join _runner thread on exit!

2026/06/11 (01:07:32) | ===> btop++ v.1.3.2
2026/06/11 (01:07:32) | WARNING: Failed to join _runner thread on exit!

2026/06/11 (11:46:24) | ===> btop++ v.1.3.2
2026/06/11 (11:46:24) | WARNING: Failed to join _runner thread on exit!

2026/06/12 (00:38:26) | ===> btop++ v.1.3.2
2026/06/12 (00:38:26) | WARNING: Failed to join _runner thread on exit!

2026/06/14 (19:57:01) | ===> btop++ v.1.3.2
2026/06/14 (19:57:01) | WARNING: Failed to join _runner thread on exit!

2026/06/14 (20:34:24) | ===> btop++ v.1.3.2
2026/06/14 (20:34:24) | WARNING: Failed to join _runner thread on exit!

2026/06/14 (20:55:12) | ===> btop++ v.1.3.2
2026/06/14 (20:55:12) | WARNING: Failed to join _runner thread on exit!

2026/06/14 (21:18:56) | ===> btop++ v.1.3.2
2026/06/14 (21:18:56) | WARNING: Failed to join _runner thread on exit!

2026/06/15 (17:56:14) | ===> btop++ v.1.3.2
2026/06/15 (17:56:14) | WARNING: Failed to join _runner thread on exit!
